source,target,weight,type
0,1,-1,-
0,25,-1,-
0,45,-1,-
1,11,1,+
1,21,1,+
1,31,1,+
1,33,-1,-
1,36,1,+
1,37,1,+
1,38,-1,-
1,39,1,+
1,40,1,+
1,41,1,+
1,45,-1,-
1,47,-1,-
1,48,1,+
1,50,1,+
1,53,1,+
1,54,1,+
1,55,1,+
1,58,1,+
2,21,-1,-
2,28,1,+
2,58,1,+
3,9,1,+
3,16,1,+
3,21,1,+
3,28,1,+
3,39,1,+
3,45,-1,-
3,58,1,+
4,0,1,+
4,5,1,+
4,6,1,+
4,25,1,+
4,33,1,+
4,38,1,+
4,45,1,+
4,47,1,+
5,20,1,+
5,21,-1,-
5,32,1,+
5,39,-1,-
5,49,1,+
5,58,-1,-
6,7,-1,-
6,23,1,+
6,57,1,+
7,28,1,+
7,36,-1,-
7,37,-1,-
7,38,1,+
7,39,-1,-
7,45,1,+
7,47,-1,-
8,21,1,+
8,25,-1,-
8,28,1,+
8,37,1,+
8,39,1,+
8,51,1,+
8,55,1,+
8,56,1,+
8,58,1,+
9,24,1,+
9,39,1,+
9,45,-1,-
10,11,1,+
10,21,1,+
10,39,1,+
10,58,1,+
10,59,1,+
11,13,-1,-
11,14,-1,-
11,21,1,+
11,22,1,+
11,25,-1,-
11,31,1,+
11,36,1,+
11,37,1,+
11,38,-1,-
11,39,1,+
11,40,1,+
11,41,1,+
11,42,-1,-
11,45,-1,-
11,46,-1,-
11,47,1,+
11,49,-1,-
11,50,1,+
11,51,1,+
11,52,1,+
11,53,1,+
11,54,1,+
11,55,1,+
11,56,1,+
11,57,1,+
11,58,1,+
12,13,1,+
12,14,1,+
12,22,-1,-
12,39,-1,-
13,39,-1,-
13,41,-1,-
14,39,-1,-
15,1,-1,-
15,22,-1,-
15,36,-1,-
15,38,-1,-
15,39,-1,-
15,40,-1,-
15,47,1,+
15,49,1,+
15,53,-1,-
15,54,-1,-
16,21,1,+
16,28,1,+
16,29,1,+
16,39,1,+
16,55,1,+
16,58,1,+
17,11,1,+
18,11,-1,-
18,33,1,+
18,39,-1,-
18,49,1,+
18,50,-1,-
18,57,1,+
19,4,1,+
19,20,1,+
19,45,1,+
20,32,1,+
20,39,-1,-
20,45,1,+
21,22,1,+
21,24,1,+
21,28,1,+
21,29,1,+
21,32,-1,-
21,36,1,+
21,37,1,+
21,38,-1,-
21,39,1,+
21,42,-1,-
21,45,-1,-
21,47,1,+
21,49,-1,-
21,50,1,+
21,51,1,+
21,52,1,+
21,53,1,+
21,54,1,+
21,55,1,+
21,56,1,+
21,58,1,+
21,59,1,+
21,60,-1,-
21,63,-1,-
21,64,1,+
22,28,1,+
22,35,1,+
22,36,1,+
22,39,1,+
22,45,-1,-
22,47,1,+
22,58,1,+
22,60,1,+
22,63,1,+
22,64,1,+
23,24,1,+
23,45,-1,-
24,8,1,+
24,21,1,+
25,1,-1,-
25,33,1,+
25,34,1,+
25,39,-1,-
25,45,1,+
25,48,-1,-
25,56,-1,-
